"","cost_level","ADM_RATE","SATMTMID","LOCALE","region","GRAD_DEBT_MDN","C150_4","SATVRMID","PFTFAC","md_earn_wne_p8","UGDS","COSTT4_A","ROI","AVG_INC","Major_Cluster"
"82","Low",0.6478,535,"City:Small","Southwest",19498.5,0.5178,530,0.9988,36200,20609,21182,1.70899820602398,62224.80458,"Comprehensive"
"83","Low",NA,NA,"Rural:Fringe","Southwest",NA,NA,NA,1,21200,1814,11304,1.87544232130219,18864.80375,"Specialized"
"84","Low",NA,NA,"City:Large","Southwest",10750,NA,NA,0.227,29200,9649,12678,2.30320239785455,21800.36499,"Specialized"
"85","High",NA,NA,"City:Midsize","Southwest",31075.5,0.191,NA,0.0903,46200,4270,26877,1.71894184618819,25192.24054,"Professional"
"86","Low",NA,NA,"City:Large","Southwest",9500,NA,NA,0.2107,27500,33110,7415,3.70869858395145,24501.32549,"Specialized"
"87","High",0.8255,550,"City:Small","Southwest",25000,0.2927,580,0.4777,30800,710,37677,0.817474852031744,52013.66693,"Comprehensive"
"88","Low",NA,NA,"City:Midsize","Southwest",18793,NA,NA,0.0275,35100,12135,13925,2.52064631956912,20555.90961,"Specialized"
"89","Low",NA,NA,"Rural:Fringe","Southwest",NA,NA,NA,0.2697,33200,8470,12807,2.59233231826345,33755.95347,"Specialized"
"90","Low",NA,NA,"City:Large","Southwest",NA,NA,NA,0.251,26600,3863,12786,2.08040043797904,22289.89611,"Specialized"
"91","High",0.5666,505,"City:Large","Southwest",21877,0.3469,515,0.2083,29300,508,30745,0.953000487884209,66866.71421,"Professional"
"92","High",NA,NA,"City:Midsize","Southwest",33375,0.0601,NA,0.0055,43600,2433,28979,1.50453776872908,27070.43685,"Professional"
"93","Low",NA,NA,"City:Small","Southwest",8709,NA,NA,0.5327,25400,5926,8887,2.85810734781141,24871.89693,"Specialized"
"94","Low",0.9624,NA,"City:Midsize","Southeast",21743,0.2192,NA,0.8263,31600,9170,16990,1.8599175985874,39276.61817,"Comprehensive"
"95","Low",NA,NA,"City:Midsize","Southeast",33179,0.0521,NA,0.6327,18600,1189,20015,0.92930302273295,21442.63406,"Professional"
"96","High",0.6471,580,"Town:Remote","Southeast",22500,0.4955,590,0.7368,35500,587,31045,1.14350136898051,55976.77926,"Comprehensive"
"97","Low",0.609,575,"City:Small","Southeast",21250,0.5902,555,0.9103,39200,18617,18064,2.17006200177148,75863.61729,"Comprehensive"
"98","Low",0.2937,450,"City:Small","Southeast",24250,0.2297,430,0.7895,23700,3049,15579,1.5212786443289,30846.50711,"Comprehensive"
